study,within_r_temp
Study1,0.210473010848137
Study1,0.503397003127721
Study1,0.274370410032926
Study1,0.621815238896373
Study1,0.537178383637613
Study1,0.419282136663989
Study1,0.587857616313893
Study1,0.236583639863177
Study1,0.284504355822322
Study1,0.134924682140685
Study1,0.347483799721847
Study1,0.123844909516395
Study1,0.12094875254134
Study1,-0.199493033642816
Study1,0.136250232171384
Study1,0.372692652360287
Study1,0.500612237572227
Study1,0.141346565683495
Study1,0.498307040749044
Study1,-0.066835726113541
Study1,0.318086825258692
Study1,-0.221141437424404
Study1,0.371566216470433
Study1,0.601960458993537
Study1,0.12263979153809
Study1,0.369875869265521
Study1,-0.309963893309722
Study1,0.134383526232395
Study1,-0.0725771109586298
Study1,0.599397415703721
Study1,0.444840313215995
Study1,0.313568378840572
Study1,0.462569160949693
Study2,0.434829462606853
Study2,0.384705378557008
Study2,0.465865769772951
Study2,0.394463621529773
Study2,0.110839053072007
Study2,0.539158273047998
Study2,0.401572186963302
Study2,-0.0412189791615506
Study2,0.336675143742664
Study2,0.330584997135376
Study2,0.106314931747819
Study2,0.108095101392876
Study2,0.402674364643495
Study2,0.384511060199311
Study2,0.295542585175171
Study2,0.490499079406458
Study2,0.366124830989307
Study2,0.0641506859087958
Study2,0.216493355256634
Study2,0.38762074547475
Study2,0.429549709237243
Study2,0.12995456236493
Study2,0.125608488146651
Study2,0.394528412162668
Study2,0.256742115502982
Study2,0.300840020321527
Study2,0.363830077886572
Study2,0.317309340372626
Study3,0.465888566774746
Study3,0.428218501925945
Study3,0.482938112890576
Study3,0.404520914740289
Study3,0.0801492765639932
Study3,0.0482475326718645
Study3,0.144413107096312
Study3,0.382468532471149
Study3,-0.0663039370503757
Study3,-0.234681461838491
Study3,0.771592694545615
Study3,0.0346692284951947
Study3,0.310167943735854
Study3,0.240291582363421
Study3,0.353709680351039
Study3,0.327938944443071
Study3,0.403334159834337
Study3,0.399770815994921
Study3,-0.0854194413309637
Study3,0.154373954885479
Study3,0.364318512052822
Study3,0.393334092759095
Study3,0.1972601435551
Study3,0.377481843629624
Study3,-0.245379433870299
Study3,0.347928855081949
Study3,-0.128864266017474
Study3,-0.0567981101400655
Study3,0.239845587391125
Study3,0.536280777950936
Study3,-0.299965269149599
Study3,0.217070585122006
Study3,-0.0300555505807476
Study3,-0.101337962277205
Study3,0.196812834925225
Study3,0.270047830658342
Study3,0.456893084254645
Study3,0.292941701290174
Study3,0.538523318115204
Study3,0.349175858167163
Study3,-0.0438541157864519
Study3,0.166481089451749
Study3,-0.0956682132262522
Study3,0.0685065794314355
Study3,-0.194440721885266
Study3,0.393239588168043
Study3,0.0651137936656296
Study3,-0.0498698794766818
Study3,0.0187239143967374
Study3,0.265558451194664
Study3,0.345488423896137
Study3,0.227593993149267
Study3,0.487551410821864
Study3,0.488934551413665
Study3,0.251338888467838
Study3,-0.0212441792676028
Study3,0.20224650616673
Study3,0.496918008630016
Study3,0.492647892269995
Study3,0.433596649433371
Study3,0.308175104954733
Study3,-0.32225196255522
Study3,0.153244720860528
Study3,0.326468357503188
Study3,0.0322771419231703
Study3,0.580308970726522
Study3,0.156159489364579
Study3,0.602981146721332
Study3,0.366938636825346
Study3,0.236951769136223
Study3,0.117156579518903
Study3,0.324371247386568
Study3,0.514100481859728
Study3,0.294118096903305
Study3,-0.00588874545964898
Study3,0.0726609793310433
Study3,-0.345758607776815
Study3,0.607950148122792
Study3,0.211287366653612
Study3,0.403590882345068
Study3,0.162318331905678
Study3,0.23198135816971
Study3,0.139754954205958
Study3,0.217578619256294
Study3,0.244592553776011
Study3,0.375175059116029
Study3,0.21157736964941
Study3,0.00413609763648345
Study3,0.0331499643203023
Study3,0.22875247554558
Study3,0.575160712366284
Study3,0.290483049127363
Study3,0.303920866757678
Study4,0.599447274170639
Study4,0.601695232292353
Study4,0.267635211513021
Study4,0.182936362849862
Study4,0.250864337630344
Study4,0.463411007341281
Study4,0.194307291630406
Study4,0.294464096451813
Study4,0.345452230286294
Study4,0.275164331763304
Study4,-0.0951682641541321
Study4,0.33159946493431
Study4,0.0474002801959379
Study4,0.458131765766034
Study4,0.158325102853007
Study4,0.466076163424526
Study4,0.437345929704942
Study5,0.601563485449835
Study5,0.769439387242126
Study5,0.468238601063777
Study5,0.61665424227228
Study5,0.525845915725077
Study5,0.412686581362063
Study5,0.637051571608607
Study5,0.319411188250967
Study5,0.376283319117079
Study5,0.684948792263183
Study5,0.214882803884843
Study5,0.441155700750945
Study5,0.199029345415413
Study5,0.560635543784599
Study5,0.482714519125405
Study5,0.434110189286186
Study5,0.603247743485583
Study5,0.560492715660711
Study5,0.545700090196668
Study5,0.520620839436576
Study5,0.234062775955948
Study5,0.438013193708912
Study5,0.303181925938893
Study5,0.631996362235939
Study5,0.337759277515673
Study5,0.135439337751057
Study5,0.559715235451652
Study5,0.543704960988273
Study5,0.291002749747893
Study5,0.385381708005677
Study5,0.106792843292942
Study5,0.45947537436525
Study5,0.561607957877412
Study5,0.48313299274212
Study5,0.453699800519935
Study5,0.317065841337631
Study5,0.269433770198106
Study5,0.542511121092303
Study5,0.487141947691123
Study5,0.327053315078641
Study5,0.35387848752078
Study5,0.44901587884189
Study5,0.236234363346156
Study5,0.261748037811147
Study5,0.15693999651559
Study5,0.359218299909492
Study5,0.390423237724561
Study5,0.0949094549946169
Study5,0.361359256760977
Study5,0.553760279611364
Study6,0.00480041450199407
Study6,0.0890246606215507
Study6,-0.0316777586049348
Study6,-0.0753885915000875
Study6,-0.0591054173786492
Study6,0.148420989615271
