temp,Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8
45.3,0.923365011298339,0,0,0,0,0,0,0
46,0,0.893160492419186,0,0,0.943204901640134,0,0,0
46.3,0.9098273744141,0,0,0,0,0,0,0
47,0,0.86909505492285,0.924830319653877,0,0.968150583917904,0,0,0
47.3,0.9334538370756,0,0,0,0,0,0,0
48,0,0.918908736595819,0.908657493396617,0,0.971722882204046,0.927689275963333,0,0.911425621494804
48.3,0.95775098989955,0,0,0,0,0,0,0
49,0,0,0.917332358579585,0,0,0.929528578772285,0,0.912618165063011
50,0,0,0,0,0,0,0,0.931927792586133
