temp,Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8
45.3,0.642667041157748,0,0,0,0,0,0,0
46,0,0.629344389105873,0,0,0.789413833602666,0,0,0
46.3,0.632902571786305,0,0,0,0,0,0,0
47,0,0.829252809352064,0.877188957623358,0,0.819189995195687,0,0,0
47.3,0.881619567155861,0,0,0,0,0,0,0
48,0,0.896940764260708,0.832822478514064,0,0.881014273127498,0.792666644808778,0,0.543532358992137
48.3,0.911008751304235,0,0,0,0,0,0,0
49,0,0,0.899125740831121,0,0,0.829111989648176,0,0.626729007989206
50,0,0,0,0,0,0,0,0.808936783949441
