study,nps,pain
bmrk3pain,1.56791302396976,9.81073832949767
bmrk3pain,4.6168528542517,9.61943285459084
bmrk3pain,2.93179625524898,11.8941205521916
bmrk3pain,4.06914412880967,10.8605633551464
bmrk3pain,2.8106992234174,10.2496624655241
bmrk3pain,1.91909013394645,9.18290235107472
bmrk3pain,2.26244589875364,13.3696778182975
bmrk3pain,2.26702305020526,12.3998345609307
bmrk3pain,2.93450678851438,12.0511195580573
bmrk3pain,1.02182258910898,10.4159058471612
bmrk3pain,0.454762230914989,12.3414715758564
bmrk3pain,0.775125708534228,11.1533466486526
bmrk3pain,0.663267800039434,11.7840459315216
bmrk3pain,2.12334330778543,10.7542632439311
bmrk3pain,4.80707420490917,10.552261859569
bmrk3pain,3.62144025352873,9.31442799220018
bmrk3pain,3.11378508599923,11.5252656620269
bmrk3pain,2.51358091919322,10.9592091789167
bmrk3pain,2.24756870424871,10.4561337906505
bmrk3pain,1.06795879123705,11.460786368886
bmrk3pain,2.35359623224383,9.69694662970468
bmrk3pain,2.62100181840812,9.343848932845
bmrk3pain,3.23199510524556,9.63115315048434
bmrk3pain,1.70230411066923,9.73402422585393
bmrk3pain,1.9687653640583,10.5264095361332
bmrk3pain,0.388836743077827,11.9136807757436
bmrk3pain,2.51259172294701,8.80455380369108
bmrk3pain,4.83034099914119,10.8588036268118
bmrk3pain,-0.0632764119525224,8.88054902813247
bmrk3pain,3.70732809498322,10.5628613896031
bmrk3pain,2.58073651481674,11.224337784184
bmrk3pain,0.377467480552405,10.1878672054256
bmrk3pain,1.80933106411264,14.5570221328375
bmrk4,2.22696419425232,7.74741707629817
bmrk4,3.32294174202674,5.5202155930593
bmrk4,3.23349007231055,6.4020192076798
bmrk4,4.73514797770116,8.43512382370005
bmrk4,4.26773478402667,9.02473355076404
bmrk4,4.47162668117709,5.78525703745601
bmrk4,4.66834372153408,7.34572779778784
bmrk4,2.17433319801872,6.68369886710409
bmrk4,5.16139428202776,4.88550518564099
bmrk4,3.58277762815464,6.68334378851727
bmrk4,3.88955225879653,7.99293321030201
bmrk4,3.22935567600361,8.48290864202683
bmrk4,4.23845065667687,4.72626827716663
bmrk4,2.32113364518227,5.83683643754898
bmrk4,2.45280776914937,6.79506352997392
bmrk4,3.35250523854977,6.01225618493085
bmrk4,2.76280033775927,5.49110521865986
bmrk4,1.52850551009825,4.27304512853256
bmrk4,2.6736179995177,5.31113907800231
bmrk4,5.79502221924181,4.57581580707971
bmrk4,6.12171325248246,8.26853770423069
bmrk4,3.3962042875083,6.04258762922511
bmrk4,2.17601598799299,7.30774019676169
bmrk4,2.43218529617773,6.47579434550134
bmrk4,1.4016540390701,6.48290931440198
bmrk4,1.23536238433643,5.63608702260795
bmrk4,3.50357311393672,6.93691612275156
bmrk4,2.6587617339713,6.16497587531647
bmrk5pain_xc,2.67289075931508,3.97801230691128
bmrk5pain_xc,3.28575429280814,2.33909528235068
bmrk5pain_xc,4.28327858972157,5.42867534892099
bmrk5pain_xc,1.76854478771064,1.19438451114213
bmrk5pain_xc,3.21634115706485,2.29986251960058
bmrk5pain_xc,1.92253812078679,3.47020114389588
bmrk5pain_xc,2.78984725410641,4.54657097353973
bmrk5pain_xc,1.67389882160716,1.95531027254527
bmrk5pain_xc,3.1278034317091,3.48443884005519
bmrk5pain_xc,3.61323291250606,4.97001361702824
bmrk5pain_xc,5.27388745604505,6.13296671893487
bmrk5pain_xc,5.17962446303667,4.8775183109317
bmrk5pain_xc,1.87545475291417,2.50267059155875
bmrk5pain_xc,3.53881139353321,4.29408916164796
bmrk5pain_xc,2.81602910886471,3.31518653199756
bmrk5pain_xc,3.95340420783848,2.64441476665589
bmrk5pain_xc,2.09839501793568,3.54486995042026
bmrk5pain_xc,3.4018663436021,3.88847301773161
bmrk5pain_xc,2.33562600523989,2.24259534171535
bmrk5pain_xc,3.24203772498694,1.65220554097595
bmrk5pain_xc,2.17342104660121,2.23183797128387
bmrk5pain_xc,2.72380829157042,3.81095667197537
bmrk5pain_xc,3.29201332024532,2.72509504489198
bmrk5pain_xc,3.19640870409693,1.83571362480706
bmrk5pain_xc,3.2403892781273,2.50615995709367
bmrk5pain_xc,3.46041618438807,3.5935945106099
bmrk5pain_xc,4.02982044668869,5.36065080060429
bmrk5pain_xc,4.60249016221785,3.98434017187097
bmrk5pain_xc,2.29244236668962,4.11342861704871
bmrk5pain_xc,3.18786804650475,2.74028192079524
bmrk5pain_xc,2.89055557853842,1.73763171793182
bmrk5pain_xc,2.1949079296051,2.71180652847662
bmrk5pain_xc,-0.234362247358359,7.06695958698563
bmrk5pain_xc,2.58388691171898,3.88277793926789
bmrk5pain_xc,2.24030634535937,3.94289265638498
bmrk5pain_xc,2.04193635602583,4.07704339353048
bmrk5pain_xc,1.53241547050565,0.974807597040773
bmrk5pain_xc,1.02266703556082,3.80114848128784
bmrk5pain_xc,3.12715406778442,4.68040531743725
bmrk5pain_xc,0.863297527409981,1.67688421431876
bmrk5pain_xc,2.24071843969547,4.67597581196546
bmrk5pain_xc,6.4153907194447,2.68965900111769
bmrk5pain_xc,3.68644173355801,3.15096035667934
bmrk5pain_xc,2.04683461132331,2.8298212099749
bmrk5pain_xc,3.75456944001281,3.11584070615305
bmrk5pain_xc,2.58316289823849,4.04002538351627
bmrk5pain_xc,8.8739574006596,3.44140935832927
bmrk5pain_xc,3.85159092068151,3.6451666100314
bmrk5pain_xc,3.63604766957827,4.31243997003107
bmrk5pain_xc,5.75540600710355,5.09393129255321
bmrk5pain_xc,2.09002632157222,2.91081788145898
bmrk5pain_xc,2.20697314412096,2.65707049657527
bmrk5pain_xc,3.53158553240778,2.72509504489198
bmrk5pain_xc,2.34975349499891,5.53087036802004
bmrk5pain_xc,2.11426629722587,3.42453203850106
bmrk5pain_xc,2.39480344384837,2.80039663791233
bmrk5pain_xc,1.87254662890769,3.5771420617147
bmrk5pain_xc,2.81401525354952,3.09527514503404
bmrk5pain_xc,1.29480964470295,2.38623787630039
bmrk5pain_xc,3.03330111052748,3.61922236369666
bmrk5pain_xc,2.56109410590902,2.64935050132445
bmrk5pain_xc,-0.658484051685366,8.00630402083086
bmrk5pain_xc,1.64275597852114,1.73763171793182
bmrk5pain_xc,1.52868445063791,4.61041009117595
bmrk5pain_xc,2.66850283075891,2.79101030488878
bmrk5pain_xc,1.55339477349705,4.11342861704872
bmrk5pain_xc,3.30846089031952,2.00677690755078
bmrk5pain_xc,4.00892296668578,2.79406877295264
bmrk5pain_xc,1.59701786949663,4.29619844996786
bmrk5pain_xc,2.82696616870607,3.04401943886053
bmrk5pain_xc,1.15486260790771,2.58651480227469
bmrk5pain_xc,1.53048611036632,2.03535776428539
bmrk5pain_xc,2.09685942316751,3.60213712830549
bmrk5pain_xc,1.74027708726101,4.94269532001654
bmrk5pain_xc,2.52446936246098,4.31361514495216
bmrk5pain_xc,1.47247181202217,3.60308630804944
bmrk5pain_xc,0.680570298496549,2.08946100969077
bmrk5pain_xc,4.03836145239316,2.08661347045891
bmrk5pain_xc,4.23557737265532,2.70294751753305
bmrk5pain_xc,1.89958871485319,2.04105284274912
bmrk5pain_xc,2.47572949383373,1.37156473001355
bmrk5pain_xc,1.05394057510462,3.64485021678342
bmrk5pain_xc,2.02148311109525,2.67858523743823
bmrk5pain_xc,1.42908901738003,1.96068895776101
bmrk5pain_xc,2.86715711211355,1.42978108764273
bmrk5pain_xc,1.74385099342505,2.65390656409542
bmrk5pain_xc,3.98979072554203,5.52232775032446
bmrk5pain_xc,1.39921026021853,3.49171588475884
bmrk5pain_xc,4.07997180480944,3.4037585618191
bmrk5pain_xc,3.75349484945241,2.77793271730542
bmrk5pain_xc,0.583518666922243,3.45026836927284
bmrk5pain_xc,2.68400213107117,5.79284397735135
exp,1.68799288159152,18.2165828001232
exp,4.01382009911414,17.2076255137946
exp,0.780597594839451,14.837007485202
exp,-0.609371022134494,15.8922143930688
exp,0.335106486476474,14.339846569115
exp,2.1809163819278,17.1430817286663
exp,0.512080022079681,15.3369908882417
exp,1.98295927212178,17.2205221143801
exp,2.59064861499331,17.1333022273882
exp,0.974279356207523,15.0018457633916
exp,1.30666485068513,16.2817175925335
exp,-0.342559929994958,13.7604807205322
exp,0.978727640454469,16.3671986259564
exp,1.01908327472382,15.7756668025753
exp,3.07210678175169,17.9447168247204
exp,2.55558734003666,16.7181950391387
exp,2.37562042698497,16.0963406816081
ie,3.92185621561045,3.64595086529225
ie,3.75399639778165,3.32123464762052
ie,3.24963985939928,3.59893807955852
ie,3.48343079143459,1.77418600093737
ie,1.11697273964903,2.98093861136353
ie,6.06699335526949,3.05391776131201
ie,3.66653503816906,1.37266401114646
ie,4.71046217906958,1.0099549027084
ie,4.1255495014304,5.72462665283768
ie,4.62004566307952,2.7480613238959
ie,3.8563718703198,4.62501946116392
ie,3.54134514885444,3.16270316084055
ie,1.19800890488217,1.33166448878282
ie,5.35674424948576,4.71275843908165
ie,4.34303161191003,3.41088693662359
