study,within_r_pain
bmrk3pain,0.202501160225623
bmrk3pain,0.461873706358682
bmrk3pain,0.473799773946156
bmrk3pain,0.45323862129174
bmrk3pain,0.432450986179428
bmrk3pain,0.342930366962296
bmrk3pain,0.560411974905848
bmrk3pain,0.431305810780579
bmrk3pain,0.260767372020853
bmrk3pain,0.216705167430484
bmrk3pain,0.389433728543088
bmrk3pain,-0.104821853038757
bmrk3pain,0.116037874509019
bmrk3pain,-0.0594930290608135
bmrk3pain,0.112412258444463
bmrk3pain,0.312984838576531
bmrk3pain,0.605526129766914
bmrk3pain,0.328557731976355
bmrk3pain,0.471145133275743
bmrk3pain,0.150977480292023
bmrk3pain,0.240871979688567
bmrk3pain,0.053685292456174
bmrk3pain,0.452832506913957
bmrk3pain,0.56713684659865
bmrk3pain,0.339067469423418
bmrk3pain,0.342629036115698
bmrk3pain,-0.0772846307169174
bmrk3pain,0.0716999529792456
bmrk3pain,-0.604227727630243
bmrk3pain,0.552818703734431
bmrk3pain,0.303204730972525
bmrk3pain,0.238293288365715
bmrk3pain,0.503882795324893
bmrk4,0.568801263890597
bmrk4,0.429432569773185
bmrk4,0.642670394817363
bmrk4,0.353143277668302
bmrk4,0.343827444478578
bmrk4,0.623507263909109
bmrk4,0.343204192993086
bmrk4,-0.00708260710048373
bmrk4,0.290504795913161
bmrk4,0.314583213305562
bmrk4,0.0379309928223509
bmrk4,0.0138129365533535
bmrk4,0.504061152691796
bmrk4,0.355643747124015
bmrk4,0.433077210993328
bmrk4,0.624045722281343
bmrk4,0.342724404529213
bmrk4,0.0560171583006063
bmrk4,0.139117127771303
bmrk4,0.415968557329184
bmrk4,0.542540508597098
bmrk4,-0.022232609595936
bmrk4,0.201014754893332
bmrk4,0.487138897913479
bmrk4,0.0655084667878024
bmrk4,0.521374529942613
bmrk4,0.365022085023677
bmrk4,0.377517547729669
bmrk5pain_xc,0.112530720733659
bmrk5pain_xc,0.195230469147836
bmrk5pain_xc,0.264018965747729
bmrk5pain_xc,0.188536832411245
bmrk5pain_xc,0.121272004731825
bmrk5pain_xc,0.126310117423941
bmrk5pain_xc,-0.241192097708563
