temp,bmrk3pain,bmrk4,bmrk5pain_xc,exp,ie,ie2,ilcp,nsf,scebl
46.3,0.893204360453505,0,0,0,0,0,0,0,0
47,0,0.56531519344954,0,0,0.716479061080109,0,0,0,0
47.3,0.942587016945917,0,0,0,0,0,0,0,0
48,0,0.916188644275528,0.63262702452835,0,0.831421609805433,0,0,0,0
48.3,0.951722364919672,0,0,0,0,0,0,0,0
49,0,0,0.88408984835583,0,0,0.748947965003659,0,0,0.781529909837618
50,0,0,0,0,0,0,0,0,0.886021823331071
