study,nps,pain
bmrk3pain,5.52223594301077,117.483870967742
bmrk3pain,16.2606920062374,115.19298245614
bmrk3pain,10.3258729347939,142.432432432432
bmrk3pain,14.3316457111318,130.055555555556
bmrk3pain,9.89936561484124,122.74
bmrk3pain,6.7590920883637,109.965517241379
bmrk3pain,7.96840122520443,160.102272727273
bmrk3pain,7.98452208769893,148.488372093023
bmrk3pain,10.3354195129485,144.3125
bmrk3pain,3.59888931509171,124.730769230769
bmrk3pain,1.60168599832419,147.789473684211
bmrk3pain,2.7300156211356,133.561643835616
bmrk3pain,2.33604876624207,141.114285714286
bmrk3pain,7.47847779458857,128.782608695652
bmrk3pain,16.9306572171068,126.363636363636
bmrk3pain,12.7548194496585,111.540540540541
bmrk3pain,10.9668429675902,138.015384615385
bmrk3pain,8.85290617874384,131.236842105263
bmrk3pain,7.9160033070991,125.2125
bmrk3pain,3.76138238056838,137.243243243243
bmrk3pain,8.28943538980532,116.121212121212
bmrk3pain,9.23124575600759,111.892857142857
bmrk3pain,11.3831821440155,115.333333333333
bmrk3pain,5.99556531654519,116.565217391304
bmrk3pain,6.93404971484382,126.054054054054
bmrk3pain,1.36949448455441,142.666666666667
bmrk3pain,8.84942220037131,105.434782608696
bmrk3pain,17.0126035530466,130.034482758621
bmrk3pain,-0.222861390323979,106.344827586207
bmrk3pain,13.0573189620018,126.490566037736
bmrk3pain,9.08943016844038,134.411764705882
bmrk3pain,1.32945160640774,122
bmrk3pain,6.37251740517555,174.320754716981
bmrk4,452.606713467366,49.244
bmrk4,675.352457297677,35.0875
bmrk4,657.172359768986,40.6924050632911
bmrk4,962.368308166047,53.6151898734177
bmrk4,867.371563285142,57.3628571428571
bmrk4,908.810416101032,36.7721518987342
bmrk4,948.791055820702,46.6907894736842
bmrk4,441.91002499196,42.4828125
bmrk4,1048.99832198791,31.053164556962
bmrk4,728.161329018543,42.4805555555556
bmrk4,790.509999782246,50.8045454545455
bmrk4,656.332087828609,53.9189189189189
bmrk4,861.419876827515,30.0410256410256
bmrk4,471.745649694737,37.1
bmrk4,498.507010587408,43.1906666666667
bmrk4,681.360922559235,38.215
bmrk4,561.509692911603,34.9024691358025
bmrk4,310.652437622419,27.1602564102564
bmrk4,543.384334131686,33.7585714285714
bmrk4,1177.77644018296,29.0847222222222
bmrk4,1244.17290729093,52.556338028169
bmrk4,690.242288044057,38.4077922077922
bmrk4,442.252034100896,46.4493333333333
bmrk4,494.315712972765,41.1613333333333
bmrk4,284.871229487715,41.2065573770492
bmrk4,251.074224793922,35.824
bmrk4,712.06385652012,44.0923076923077
bmrk4,540.364956657764,39.1857142857143
bmrk5pain_xc,25.95225411807,49.2595204513399
bmrk5pain_xc,31.9028116204595,28.9648957843598
bmrk5pain_xc,41.5882070868571,67.2230057984642
bmrk5pain_xc,17.1715673713563,14.7900015671525
bmrk5pain_xc,31.2288494199229,28.4790785143394
bmrk5pain_xc,18.6667553428636,42.971321109544
bmrk5pain_xc,27.0878353845341,56.2999529854255
bmrk5pain_xc,16.2526086915047,24.2125058768218
bmrk5pain_xc,30.3691982952143,43.1476257639868
bmrk5pain_xc,35.0824433831931,61.5434213177514
bmrk5pain_xc,51.2064576423074,75.9442093715719
bmrk5pain_xc,50.291217414117,60.3980567309199
bmrk5pain_xc,18.2096025304987,30.990440369848
bmrk5pain_xc,34.3598526205496,53.1734837799718
bmrk5pain_xc,27.3420463527908,41.0517831956478
bmrk5pain_xc,38.3853138313673,32.7456511518571
bmrk5pain_xc,20.374226127937,43.8959410750666
bmrk5pain_xc,33.0301938143908,48.1507600689547
bmrk5pain_xc,22.6776045379013,27.7699420153581
bmrk5pain_xc,31.4783485280897,20.4591756777934
bmrk5pain_xc,21.102686337024,27.6367340542235
bmrk5pain_xc,26.4466344931565,47.1908791725435
bmrk5pain_xc,31.9635832288822,33.7447108603667
bmrk5pain_xc,31.0353166005149,22.7315467795016
bmrk5pain_xc,31.4623430435211,31.0336490026194
bmrk5pain_xc,33.5986795788592,44.4992947813822
bmrk5pain_xc,39.1272721932931,66.3806613383482
bmrk5pain_xc,44.6875705075212,49.3378780755368
bmrk5pain_xc,22.2583158866559,50.9363736091522
bmrk5pain_xc,30.952391656652,33.9327691584391
bmrk5pain_xc,28.0656561272472,21.5170036044507
bmrk5pain_xc,21.3113117909371,33.5801598495534
bmrk5pain_xc,-2.27552457126405,87.5097947030246
bmrk5pain_xc,25.0880772106336,48.0802382071776
bmrk5pain_xc,21.7521046733648,48.8246356370475
bmrk5pain_xc,19.82604452495,50.4858172700204
