bmrk3pain,bmrk4,bmrk5pain_xc,exp,ie,ie2,ilcp,scebl,mean,se
0.523741994334373,0.187114039946024,0.704686423991897,-0.4317765202118,0.573846653074011,0.564821978376466,0.286636947300149,0.626144121586827,0.433593977868307,0.111967626330536
0.726752158471361,0.113853876722598,0.733414113289353,0.231695687819474,0.425799644040593,0.679784417349884,0.403002928716734,0.138269618230931,0.463228363421813,0.0856453851483412
0.74134000713304,0.590671422791824,0.744180570005789,0.0265582481968092,0.503902796006278,0.5424846892052,0.540127760990592,-0.0434702380263281,0.498155810421382,0.0953868293036639
0.694358925303915,0.73807095396965,0.794894791674901,-0.21761968720478,0.575260387967303,0.633305365186442,0.479786502433862,-0.0487045326612491,0.509696726427906,0.117165692517232
0.658490510243844,0.714698876060375,0.821852996975761,0.0415866600999827,0.699685965571888,0.78399173664182,0.529886483822928,0.102735112733216,0.585802632184683,0.0946603696756707
0.6734898762297,0.715774927991124,0.845607719828418,0.232712043479971,0.763306616920236,0.828640246635155,0.489829649415714,0.0257185577239651,0.610315193905256,0.0953849617050832
0.695629671981366,0.75485777276259,0.876143585941916,0.441360214425566,0.79154209360333,0.69799029269361,0.574647617010573,0.0619401304693941,0.648020734076115,0.0848264486387196
0.730502241824698,0.698851894149121,0.87500667893548,0.393238627552525,0.778750605470975,0.729268662532417,0.561993417312526,0.105363427819812,0.645742765691609,0.0819246637148642
0.779303020852928,0.761312275539946,0.871105633137695,0.20097389658862,0.788471031456154,0.758219890608615,0.556608825797484,0.228827182449974,0.657897798976636,0.0834727753154374
0.78579904922856,0.719429851781518,0.882797930681988,0.473574807739363,0.80954242346049,0.76225869042203,0.630593096772907,0.307136912925968,0.700872779828087,0.0632812173218597
0.764877475092045,0.663081911832122,0.888695991950576,0.384566741015671,0.756300852367293,0.787581397779788,0.689536607734651,0.299937241264929,0.685518198342513,0.0665108899429116
0.829246171943913,0.611805547812532,0.89503773664595,0.410057052495915,0.792103162585913,0.762830531993709,0.659163934700857,0.34228930835903,0.694693249928584,0.0652936662069211
0.852133544354146,0.614203944236501,0.901541636700657,0.518112844516666,0.821572799723395,0.731765287503087,0.687516396197212,0.340448169474573,0.713309321856627,0.0625396694880788
0.852276910181322,0.665654504687969,0.901134271534088,0.603258778558961,0.836152946175753,0.800927765129878,0.71071045663591,0.404305354393671,0.74433116290238,0.0540757848394226
0.835538165991742,0.644976248034441,0.906632283260769,0.67431266659652,0.819452138566127,0.782108979426921,0.690704327271962,0.351975666974147,0.734328254317705,0.0573604268365612
0.831331911634038,0.683796380700925,0.90652346565561,0.582759664372312,0.812121447954024,0.819065706004014,0.683993427204544,0.426241813244427,0.739985976900662,0.0523579645131066
