temp,bmrk3pain,bmrk4,bmrk5pain_xc,exp,ie,ie2,ilcp,scebl
45.3,0.923365011298339,0,0,0,0,0,0,0
46,0,0.893160492419186,0,0,0.943204901642273,0,0,0
46.3,0.9098273744141,0,0,0,0,0,0,0
47,0,0.86909505492285,0.924830319652965,0,0.968150583916424,0,0,0
47.3,0.9334538370756,0,0,0,0,0,0,0
48,0,0.918908736595819,0.908657493394088,0,0.971722882205615,0.927689275963333,0,0.911425621497291
48.3,0.95775098989955,0,0,0,0,0,0,0
49,0,0,0.917332358579262,0,0,0.929528578772285,0,0.91261816506011
50,0,0,0,0,0,0,0,0.931927792585585
