mean_response,withinSub_temp,withinSub_pain,betweenSub_pain,reliable_nps,studyID,index
1.77336456856249,1.08792237595643,1.11258604748593,-0.267454827175311,0.870471953665582,bmrk3pain,dot
2.61837615409623,2.07477763497815,1.64209410183948,0.334057036375596,0.884390241014712,bmrk4,dot
1.98564245617203,0.959294843470184,1.02470137820395,0.0805171590416558,0.913318926264591,bmrk5pain_xc,dot
1.21796926560859,1.67636114525999,1.59431700920867,2.19654106966384,0.733546012685684,exp,dot
2.41381652288047,2.67373642824367,1.91769747129952,0.391179417440323,0.87397670089768,ie,dot
1.59922863550574,0.532830771289731,1.19770336074358,0.645498066257057,0.845396747440334,ie2,dot
1.65479004378383,2.16323806740008,2.13389854033242,0.070181750468508,0.873479689534371,ilcp,dot
2.07959631099464,0.824261716879503,0.944335917254178,0.45618959947974,0.752317787255068,scebl,dot
1.93327479473606,0.960838957094645,0.986184026807267,-0.400245361125873,0.832291380405662,bmrk3pain,corr
2.81739453198709,1.95293345646029,1.50574479006441,0.324088770829296,0.901005363301108,bmrk4,corr
2.51011489348635,0.182174204469245,0.29017617248045,-0.327956607956228,0.906746657999399,bmrk5pain_xc,corr
1.43034901339111,1.68626477676571,1.65118421265074,1.77718491233648,0.703690692068394,exp,corr
3.45401429529571,1.20742498305546,0.77885922028721,0.158060705976399,0.812743158073447,ie,corr
2.07939660582101,1.02708096566293,1.31550909451837,0.631470539392929,0.872467679157277,ie2,corr
1.73863840383854,2.14030933691616,2.04566426358028,0.0405879325776585,0.847272202647082,ilcp,corr
2.27181681702652,0.981288660847057,0.786995710590023,0.126266825440705,0.828730984746839,scebl,corr
1.93929740765603,0.99976769465347,1.00352079390269,-0.393377013525131,0.844716433901626,bmrk3pain,cosine
2.75676759489352,1.89300066203918,1.48867140404083,0.320699266650015,0.897433695884007,bmrk4,cosine
2.7556370186694,0.191970746825145,0.325402127376888,-0.421263677979496,0.90012279347056,bmrk5pain_xc,cosine
1.38246594307217,1.66590311662552,1.64390672885711,1.88464716093657,0.722494778323588,exp,cosine
3.07559115160506,1.44011288936132,0.910432344795213,0.175479182544182,0.795084262923324,ie,cosine
1.77426732983079,0.826809358710346,1.31109404834092,0.729155224354583,0.894460870863002,ie2,cosine
1.78619999397175,2.16394014816372,2.04007873678244,0.0509980056780227,0.842447122234123,ilcp,cosine
2.03114980011812,0.994915489008657,0.834101137652407,0.119393551572418,0.862251436586188,scebl,cosine
