study,rescale_mean
bmrk3pain,1.56791302396976
bmrk3pain,4.6168528542517
bmrk3pain,2.93179625524898
bmrk3pain,4.06914412880967
bmrk3pain,2.8106992234174
bmrk3pain,1.91909013394645
bmrk3pain,2.26244589875364
bmrk3pain,2.26702305020526
bmrk3pain,2.93450678851438
bmrk3pain,1.02182258910898
bmrk3pain,0.454762230914989
bmrk3pain,0.775125708534228
bmrk3pain,0.663267800039434
bmrk3pain,2.12334330778543
bmrk3pain,4.80707420490917
bmrk3pain,3.62144025352873
bmrk3pain,3.11378508599923
bmrk3pain,2.51358091919322
bmrk3pain,2.24756870424871
bmrk3pain,1.06795879123705
bmrk3pain,2.35359623224383
bmrk3pain,2.62100181840812
bmrk3pain,3.23199510524556
bmrk3pain,1.70230411066923
bmrk3pain,1.9687653640583
bmrk3pain,0.388836743077827
bmrk3pain,2.51259172294701
bmrk3pain,4.83034099914119
bmrk3pain,-0.0632764119525224
bmrk3pain,3.70732809498322
bmrk3pain,2.58073651481674
bmrk3pain,0.377467480552405
bmrk3pain,1.80933106411264
bmrk4,2.22696419425232
bmrk4,3.32294174202674
bmrk4,3.23349007231055
bmrk4,4.73514797770116
bmrk4,4.26773478402667
bmrk4,4.47162668117709
bmrk4,4.66834372153408
bmrk4,2.17433319801872
bmrk4,5.16139428202776
bmrk4,3.58277762815464
bmrk4,3.88955225879653
bmrk4,3.22935567600361
bmrk4,4.23845065667687
bmrk4,2.32113364518227
bmrk4,2.45280776914937
bmrk4,3.35250523854977
bmrk4,2.76280033775927
bmrk4,1.52850551009825
bmrk4,2.6736179995177
bmrk4,5.79502221924181
bmrk4,6.12171325248246
bmrk4,3.3962042875083
bmrk4,2.17601598799299
bmrk4,2.43218529617773
bmrk4,1.4016540390701
bmrk4,1.23536238433643
bmrk4,3.50357311393672
bmrk4,2.6587617339713
bmrk5pain,2.69249808267324
bmrk5pain,3.30985735301366
bmrk5pain,4.31469911375498
bmrk5pain,1.78151816846149
bmrk5pain,3.23993502856033
bmrk5pain,1.9366411388287
bmrk5pain,2.8103125264115
bmrk5pain,1.68617791507543
bmrk5pain,3.15074782368342
bmrk5pain,3.63973823294872
bmrk5pain,5.31257471490321
bmrk5pain,5.21762024395912
bmrk5pain,1.88921238504179
bmrk5pain,3.56477078564631
bmrk5pain,2.83668644142912
bmrk5pain,3.9824048972226
bmrk5pain,2.11378805616833
bmrk5pain,3.42682115823035
bmrk5pain,2.35275928095229
bmrk5pain,3.26582009685966
bmrk5pain,2.18936444761961
bmrk5pain,2.74378912683365
bmrk5pain,3.31616229432684
bmrk5pain,3.21985635859895
bmrk5pain,3.26415955761258
bmrk5pain,3.48580049867202
bmrk5pain,4.05938169691868
bmrk5pain,4.63625230253311
bmrk5pain,2.30925886343831
bmrk5pain,3.21125304994835
bmrk5pain,2.91175960931133
bmrk5pain,2.21100895033225
bmrk5pain,-0.236081440838634
bmrk5pain,2.60284133625819
bmrk5pain,2.2567403918245
bmrk5pain,2.0569152347061
bmrk5pain,1.54365669521509
bmrk5pain,1.03016893708227
bmrk5pain,3.15009369626873
bmrk5pain,0.869630354037945
bmrk5pain,2.25715550912998
bmrk5pain,6.46245161778733
bmrk5pain,3.71348408643345
bmrk5pain,2.0618494217659
bmrk5pain,3.7821115521715
bmrk5pain,2.60211201168656
bmrk5pain,8.9390534213686
bmrk5pain,3.87984474600601
bmrk5pain,3.66272035051544
bmrk5pain,5.79762550531742
bmrk5pain,2.10535797018948
bmrk5pain,2.2231626707332
bmrk5pain,3.55749191831585
bmrk5pain,2.36699040467352
bmrk5pain,2.1297757612062
bmrk5pain,2.41237082303854
bmrk5pain,1.88628292812915
bmrk5pain,2.83465781322722
bmrk5pain,1.30430788225811
bmrk5pain,3.05555226894445
bmrk5pain,2.57988133097994
bmrk5pain,-0.66331444353082
bmrk5pain,2.37265309041198
bmrk5pain,1.65480661978179
bmrk5pain,1.53989830598601
bmrk5pain,2.68807796592016
bmrk5pain,1.56478989449879
bmrk5pain,3.33273051760162
bmrk5pain,4.03833092084621
bmrk5pain,1.60873299315698
bmrk5pain,2.84770373143631
bmrk5pain,1.16333424652915
bmrk5pain,1.54171318201395
bmrk5pain,2.11224119685331
bmrk5pain,1.75304310677146
bmrk5pain,2.54298792216082
bmrk5pain,1.48327331255244
bmrk5pain,0.685562706758681
bmrk5pain,4.0679853562352
bmrk5pain,4.26664797846468
bmrk5pain,1.91352338466708
bmrk5pain,2.49389051615152
bmrk5pain,1.06167188757385
bmrk5pain,2.0363119524477
bmrk5pain,1.43957227801226
bmrk5pain,2.88818950051922
bmrk5pain,1.75664322976968
bmrk5pain,4.01905833276259
bmrk5pain,1.40947434150301
bmrk5pain,4.10990094657862
bmrk5pain,3.78102907881809
bmrk5pain,0.587799140842846
bmrk5pain,2.70369096328195
exp,1.68799288159152
exp,4.01382009911414
exp,0.780597594839451
exp,-0.609371022134494
exp,0.335106486476474
exp,2.1809163819278
exp,0.512080022079681
exp,1.98295927212178
exp,2.59064861499331
exp,0.974279356207523
exp,1.30666485068513
exp,-0.342559929994958
exp,0.978727640454469
exp,1.01908327472382
exp,3.07210678175169
exp,2.55558734003666
exp,2.37562042698497
ie,3.92185621561045
ie,3.75399639778165
ie,3.24963985939928
ie,3.48343079143459
ie,1.11697273964903
ie,6.06699335526949
ie,3.66653503816906
ie,4.71046217906958
ie,4.1255495014304
ie,4.62004566307952
ie,3.8563718703198
ie,3.54134514885444
ie,1.19800890488217
ie,5.35674424948576
ie,4.34303161191003
