temp,Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8
46.3,0.374733606921784,0,0,0,0,0,0,0
47,0,0.273021886777834,0,0,0.394200095252839,0,0,0
47.3,0.630871621145416,0,0,0,0,0,0,0
48,0,0.581396077250104,0.112289214488364,0,0.670210534190607,0,0,0
48.3,0.708920028934089,0,0,0,0,0,0,0
49,0,0,0.676343834795414,0,0,-0.517294014789453,0,-0.604708521236416
50,0,0,0,0,0,0,0,0.736867835941903
