temp,Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8
46.3,0.494965664333266,0,0,0,0,0,0,0
47,0,0.829252809352064,0,0,0.819189995195687,0,0,0
47.3,0.813655494567827,0,0,0,0,0,0,0
48,0,0.896940764260708,0.832822478514064,0,0.881014273127498,0,0,0
48.3,0.892040516039556,0,0,0,0,0,0,0
49,0,0,0.899125740831121,0,0,0.829111989648176,0,0.626729007989206
50,0,0,0,0,0,0,0,0.808936783949441
