temp,Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8
46.3,0.890994609617764,0,0,0,0,0,0,0
47,0,0.56531519344954,0,0,0.71647906109503,0,0,0
47.3,0.896314175128673,0,0,0,0,0,0,0
48,0,0.916188644275528,0.632627024516875,0,0.831421609797035,0,0,0
48.3,0.944789490650937,0,0,0,0,0,0,0
49,0,0,0.884089848353495,0,0,0.748947965003659,0,0.781529909825003
50,0,0,0,0,0,0,0,0.886021823331108
