study,within_r_pain
Study1,0.202501160186641
Study1,0.461873706395756
Study1,0.473799773970291
Study1,0.453238621311561
Study1,0.432450986191259
Study1,0.342930366920121
Study1,0.560411974890111
Study1,0.431305810748696
Study1,0.260767371946387
Study1,0.216705167442025
Study1,0.38943372857133
Study1,-0.104821853021792
Study1,0.116037874528656
Study1,-0.0594930291108222
Study1,0.112412258516816
Study1,0.312984838604825
Study1,0.60552612980247
Study1,0.328557731989695
Study1,0.471145133254961
Study1,0.150977480306236
Study1,0.240871979701726
Study1,0.0536852923782211
Study1,0.452832506949045
Study1,0.567136846597948
Study1,0.33906746943065
Study1,0.342629036144041
Study1,-0.0772846307818886
Study1,0.0716999528836062
Study1,-0.604227727560674
Study1,0.552818703727669
Study1,0.30320473091094
Study1,0.238293288374446
Study1,0.503882795328563
Study2,0.568801263863147
Study2,0.429432569761391
Study2,0.642670394857767
Study2,0.353143277663739
Study2,0.343827444511745
Study2,0.623507263934027
Study2,0.343204193013074
Study2,-0.00708260712133218
Study2,0.290504795943368
Study2,0.314583213356811
Study2,0.03793099279598
Study2,0.0138129365602951
Study2,0.504061152717754
Study2,0.355643747110814
Study2,0.433077210894736
Study2,0.624045722338397
Study2,0.342724404484263
Study2,0.056017158337482
Study2,0.139117127737607
Study2,0.415968557297568
Study2,0.542540508613662
Study2,-0.0222326096075294
Study2,0.201014754899593
Study2,0.487138897879723
Study2,0.065508466787439
Study2,0.521374529960885
Study2,0.365022085052948
Study2,0.37751754772561
Study3,0.112530720730823
Study3,0.195230469153673
Study3,0.264018965779852
Study3,0.188536832505695
Study3,0.121272004774339
Study3,0.126310117327333
Study3,-0.24119209774583
Study3,0.562259640265635
Study3,0.0458912975745025
Study3,-0.196444623642848
Study3,0.446409509661334
Study3,0.176935217390973
Study3,0.265449094744796
Study3,0.419178520240332
Study3,0.533708062783494
Study3,0.380900239558002
Study3,0.61389493244776
Study3,0.370302290248473
Study3,-0.131262269628936
Study3,0.222765714284214
Study3,0.666557489643824
Study3,0.188702692705888
Study3,0.0800809095739957
Study3,0.395367060364226
Study3,-0.0907478167033281
Study3,0.0925562606540559
Study3,0.0351026040411227
Study3,-0.00670706417886817
Study3,0.137497334313651
Study3,0.356664893363584
Study3,-0.323972880638019
Study3,0.0517329384113424
Study3,0.0479684705206432
Study3,0.072596956648622
Study3,-0.0330400273327399
Study3,0.290048104136921
Study3,0.362290794671379
Study3,0.356779527508292
Study3,0.506613826585418
Study3,0.85671242313003
Study3,0.117513178706058
Study3,-0.00910314129663273
Study3,-0.117626269100676
Study3,0.10594040932657
Study3,-0.103889212684489
Study3,0.175312434294066
Study3,0.180207289970131
Study3,0.300588748187102
Study3,-0.0727480309368337
Study3,-0.156510925617116
Study3,0.483725102395615
Study3,0.142365695612086
Study3,0.369978712315209
Study3,0.534904547524315
Study3,0.442963066532202
Study3,0.0918707623817826
Study3,0.356043520712255
Study3,0.373954699540877
Study3,0.392624682815647
Study3,0.343789586412953
Study3,0.254343034935481
Study3,-0.00839474771155453
Study3,0.443977412088693
Study3,0.170960595466469
Study3,0.0787258400850205
Study3,0.603019922273612
Study3,0.286281511702386
Study3,0.433449542250503
Study3,0.433325588885023
Study3,0.354205438710968
Study3,-0.0013449870978587
Study3,0.720335447433633
Study3,0.492815493851456
Study3,0.51242261569504
Study3,0.209894923700933
Study3,0.167947589137227
Study3,-0.191364784796255
Study3,0.555003233719231
Study3,0.451606326635864
Study3,0.328073709949062
Study3,0.136447016482512
Study3,0.17702464558063
Study3,0.313538873553635
Study3,0.242883667538409
Study3,0.349798123669674
Study3,0.255368051827145
Study3,0.0580694867669533
Study3,0.258711372860537
Study3,0.0667740116318139
Study3,0.170763267042377
Study3,0.406274169661716
Study3,0.308059624101796
Study3,0.343671400732595
Study4,0.562828036785411
Study4,0.555708455857211
Study4,0.391987198393254
Study4,0.210511706618568
Study4,0.397535686374906
Study4,0.466270404472523
Study4,0.148600360985251
Study4,0.261073925230405
Study4,0.439303641742262
Study4,0.335875435060651
Study4,-0.163800761605376
Study4,0.502341668081022
Study4,-0.0655625803638269
Study4,0.43619681548475
Study4,0.22745008134159
Study4,0.544353060903253
Study4,0.475484742054928
Study5,0.551045561527562
Study5,0.34109080174178
Study5,0.457595251727425
Study5,0.39992557794635
Study5,0.46739073317495
Study5,0.579644637832822
Study5,0.715033518854417
Study5,0.257770715408603
Study5,0.452033492152331
Study5,0.631550896009707
Study5,0.0271287309115643
Study5,0.324859168163164
Study5,0.186061983266878
Study5,0.616765214756038
Study5,0.0968658005140896
Study5,0.431447691513185
Study5,0.575281162293554
Study5,0.517011168246963
Study5,0.420133929676822
Study5,0.504041655875824
Study5,0.334307518331879
Study5,0.327439663992887
Study5,0.221899917557994
Study5,0.618959401434569
Study5,0.108665646577269
Study5,0.189584924083007
Study5,0.292476475334108
Study5,0.422956651344976
Study5,0.321187388585099
Study5,0.390169186024481
Study5,0.146156184615583
Study5,0.248799425206722
Study5,0.533122019397039
Study5,0.316118752514457
Study5,0.457561211502822
Study5,0.161917856294751
Study5,0.166752462262604
Study5,0.520741942732922
Study5,0.255161241497775
Study5,0.293940405347102
Study5,0.224462019765888
Study5,0.453546835454607
Study5,0.0712297007433574
Study5,0.312395955306299
Study5,0.387954513620476
Study5,0.662905649225164
Study5,0.402215928495063
Study5,-0.220549365409553
Study5,0.252976367350788
Study5,0.285347687862679
Study6,0.0729694381767924
Study6,0.344868186199084
Study6,0.152619457086569
Study6,0.0928386827609185
Study6,-0.13274039283117
Study6,0.116463199256639
Study6,0.210308946030691
Study6,0.209499669335335
Study6,-0.0021659721613377
Study6,0.131488337512044
Study6,0.171181243175714
Study6,0.00418230389332644
Study6,0.17855967854358
Study6,0.236026612520119
Study6,0.0621623972953171
Study6,0.233793239355391
Study6,0.265010512895381
Study6,0.32168819206263
Study6,0.045935497283517
Study7,0.173952006660693
Study7,0.144646979885354
Study7,0.493884846638746
Study7,0.522737597407115
Study7,0.463901334518964
Study7,0.449831176290538
Study7,0.537960108196296
Study7,0.296500911411272
Study7,0.429461663797233
Study7,0.288675308461719
Study7,0.269249285834852
Study7,0.13164000209834
Study7,0.360855260412969
Study7,0.0859968412614927
Study7,0.559825960223886
Study7,0.517146982031638
Study7,0.32462741264689
Study7,0.214894764120586
Study7,0.611884062267746
Study7,0.215586708066036
Study7,0.360963066961072
Study7,0.254061403466464
Study7,0.491876638803779
Study7,0.565569863942279
Study7,0.297146660197901
Study7,0.379452020949227
Study7,-0.0362224203986992
Study7,0.347277973741833
Study7,0.258535171313699
Study8,0.436136968970073
Study8,-0.0532734384183741
Study8,0.548196177657154
Study8,0.130289096781846
Study8,-0.0419720626084108
Study8,0.149499001699094
Study8,-0.00357965529599618
Study8,0.311686967109489
Study8,0.457862004230797
Study8,0.167981674585459
Study8,-0.026882063489373
Study8,0.146121986793592
Study8,0.15617388395132
Study8,0.225422617831665
Study8,-0.0521984662885717
Study8,-0.110009026956212
Study8,-0.032518810025756
Study8,0.121592502903424
Study8,0.338971654611746
Study8,0.260340406644912
Study8,0.19168029224978
Study8,0.385799385037538
Study8,0.233027520211079
Study8,0.155308049123478
Study8,0.231009498811383
Study8,0.00194475309849949
