Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8,mean,se
0.523741994292238,0.187114039725233,0.702084782016501,-0.431776520244728,0.573846653117955,0.564821978376891,0.286636947436816,0.626144121549517,0.433358606224887,0.111789047770444
0.726752158463598,0.113853876632278,0.732241271660323,0.231695687786872,0.425799644107317,0.679784417280927,0.40300292872509,0.138269618177268,0.463286925945189,0.08556170578212
0.741340007134499,0.590671422862196,0.743901126185972,0.0265582481188583,0.503902796074109,0.542484689206244,0.540127761005439,-0.0434702381630794,0.498371907605316,0.0953592673759462
0.694358925305796,0.738070953994159,0.794853496187375,-0.217619687409994,0.575260388010978,0.633305365210455,0.479786502415505,-0.04870453282179,0.510005576814422,0.117146137650968
0.658490510245284,0.714698876102982,0.821685486890186,0.0415866600013947,0.699685965594536,0.783991736664291,0.529886483777142,0.102735112565236,0.586034513848616,0.0946377639630956
0.673489876226492,0.715774928027061,0.845184752188263,0.232712043297126,0.763306616934006,0.828640246640273,0.48982964937925,0.0257185576046793,0.610493941111391,0.0953453926164001
0.695629671992527,0.754857772764006,0.875500013655642,0.44136021434815,0.791542093612865,0.697990292698138,0.574647616985836,0.0619401304233221,0.648146249784039,0.0847776207402942
0.730502241828892,0.698851894154054,0.874213489382132,0.39323862748046,0.778750605487146,0.729268662529096,0.561993417274366,0.105363427704599,0.645838948520713,0.0818669776730299
0.779303020859391,0.761312275568094,0.870463494761322,0.200973896484099,0.788471031469576,0.758219890604154,0.556608825761415,0.228827182358585,0.658006995894277,0.0834220785376987
0.785799049246604,0.71942985181146,0.881932866276466,0.473574807680313,0.809542423468818,0.762258690423465,0.630593096738623,0.307136912840519,0.700903143271589,0.0632189484258809
0.764877475109833,0.663081911869829,0.887750289506026,0.38456674097077,0.756300852382152,0.787581397791307,0.689536607704736,0.299937241201119,0.685556285292755,0.0664434751109153
0.829246171958182,0.611805547825256,0.894047208244932,0.410057052442028,0.792103162595562,0.762830532004035,0.659163934672251,0.34228930830508,0.694719041682382,0.0652224135418572
0.852133544360683,0.614203944261602,0.900951695671067,0.518112844497603,0.821572799733653,0.731765287505,0.687516396170562,0.340448169403234,0.713403514110094,0.0624988784229167
0.85227691018133,0.665654504696525,0.9000516954934,0.603258778535097,0.836152946185515,0.8009277651301,0.71071045661976,0.404305354359279,0.744297162287535,0.0539983379943113
0.835538165987041,0.644976248051482,0.905339440097317,0.674312666580308,0.819452138572192,0.782108979421267,0.6907043272615,0.351975666929854,0.7342696573756,0.0572663474646258
0.831331911633158,0.683796380717139,0.905782011409255,0.582759664372569,0.812121447962938,0.819065706004396,0.683993427193611,0.426241813191091,0.740032671626567,0.0523063356240793
0.773964034041449,0.646737752080682,0.9028894425207,0.565748034103842,0.810790241835645,0.835428969105389,0.658123736672883,0.431725542699763,0.726017440345394,0.0527278208830109
0.742850894438324,0.711272613573691,0.8991080080569,0.623640412421783,0.813420615121068,0.810109856128423,0.710544842106206,0.453897989359559,0.739861380159975,0.0462419449802237
0.727466959885626,0.729942465955125,0,0.577894602115443,0.81970043014628,0.815691549504882,0.725475388740357,0.48162346960375,0.703941141298601,0.0438263387794943
0.73670020771457,0.763632701675268,0,0.562002456763485,0.843352309598879,0.79745988727514,0.716013354320604,0.444501506573686,0.703743789213606,0.0503877141102186
0.758309387850864,0.763237985537613,0,0.614249140685666,0.854041099291739,0.799746753746896,0.727461724796028,0.434046213055529,0.714848663937716,0.0506745057240971
0.79564575102746,0.799158644246722,0,0.671045114734077,0.862242964772577,0.794441467973765,0.768976544138069,0.412589179760707,0.735015731770764,0.0541013910522488
0.795832999361221,0.814977331948111,0,0.720056582473572,0.876570200880428,0.830535192966287,0.807324504072301,0.491636923109544,0.76794087612713,0.0461220339285065
