studynames,measure,sd
Study1,nps,4.56256200461667
Study2,nps,257.849264192456
Study3,nps,13.1972831291964
Study4,nps,449.779817346264
Study5,nps,6.64413679008689
Study6,nps,21.7681538418391
Study7,nps,4.19225309887544
Study8,nps,28.5572811816163
Study1,pain,15.5213956211479
Study2,pain,7.99642378639119
Study3,pain,15.9819982827516
Study4,pain,24.9834017873287
Study5,pain,15.7751004246118
Study6,pain,10.6500626798474
Study7,pain,10.4257441525739
Study8,pain,15.4661839968219
